2,Na Drini ćuprija,Na Drini ćuprija,1945,Ivo Andrić,1989,Svjetlost Sarajevo,17.07.1996.
7,Na Drini ćuprija,Na Drini ćuprija,1945,Ivo Andrić,1977,Svjetlost Sarajevo,17.07.1996.
9,Derviš i smrt,Derviš i smrt,1966,Meša Selimović,1975,IP Otokar Keršovani Rijeka,17.07.1996.
10,Bogorodičina crkva u Parizu,Notre-Dame de Paris,1831,Viktor Igo (Victor Hugo),1985,IRO Rad Beograd,17.07.1996.
11,Blago cara Radovana,Blago cara Radovana,1932,Jovan Dučić,1994,IP Beograd Beograd,17.07.1996.
12,Latice zlatnog sveta,nepoznato,1111,Priče himalajskih naroda,1990,Veselin Masleša Sarajevo,17.07.1996.
13,Starac i more,The Old Man and the Sea ,1952,Ernest Hemingvej (Ernest Hemingway),1990,Svjetlost Sarajevo,26.07.2001.
14,Zamka za snove,Dreamcatcher,2001,Stiven King (Stephen King),2001,Alnari Beograd,20.09.2002.
15,Grof Monte Kristo 1,Le Comte de Monte-Cristo,1846,Aleksandar Dima (Alexandre Dumas),1991,Svjetlost Sarajevo,23.05.2003.
16,Grof Monte Kristo 2,Le Comte de Monte-Cristo,1847,Aleksandar Dima (Alexandre Dumas),1991,Svjetlost Sarajevo,23.05.2003.
17,Grof Monte Kristo 3,Le Comte de Monte-Cristo,1848,Aleksandar Dima (Alexandre Dumas),1991,Svjetlost Sarajevo,23.05.2003.
19,Misli nad mislima,Misli nad mislima,1111,nepoznat,2003,SIA Zlaja Beograd,01.10.2003.
20,Mala knjiga velikih misli,Mala knjiga velikih misli,1111,nepoznat,1999,Libretto Beograd,01.10.2003.
22,Znakovi pored puta,Znakovi pored puta,1976,Ivo Andrić,2004,Dereta Beograd,17.09.2004.
25,Galeb Džonatan Livingston,Jonathan Livingston Seagull,1970,Ričard Bah (Richard Bach),2005,Mono i Manjana Beograd,08.10.2006.
26,Priručnik za ratnika svetlosti,Manual do Guerreiro da Luz,1997,Paulo Koeljo (Paulo Coelho),2001,Paideia Beograd,08.11.2006.
27,Dnevnik jednog čarobnjaka,O Diario de Um Mago,1987,Paulo Koeljo (Paulo Coelho),2006,Paideia Beograd,08.11.2006.
29,Veronika je odlučila da umre,Veronika decide morrer,1988,Paulo Koeljo (Paulo Coelho),2006,Paideia Beograd,02.11.2007.
30,Veštica iz Portoblea,A bruxa de Portobello,2006,Paulo Koeljo (Paulo Coelho),2006,Paideia Beograd,02.11.2007.
36,Mračna kula III - Pustare,The Dark Tower III - The Waste Lands,1991,Stiven King (Stephen King),2004,Editor Beograd,02.11.2007.
41,P.S. Volim te,P.S. I Love You,2004,Sesilija Ahren (Cecilia Ahern),2004,Narodna knjiga Alfa,22.11.2007.
42,Sto godina samoće,Cien años de soledad,1967,Gabrijel Garsija Markes (Gabriel Garcia Marquez),2002,Zavod za udžbenike i nastavna sredstva Beograd,22.11.2007.
43,Ben u svetu,Ben in the World,2000,Doris Lesing (Doris Lessing),2007,Agora Zrenjanin,25.12.2007.
47,Crne rupe i bebe vaseljene,Black Wholes and Baby Universes,1993,Stiven Hoking (Stephen Hawking),2008,Alnari Beograd,10.05.2008.
