30,Veštica iz Portoblea,A bruxa de Portobello,2006,Paulo Koeljo (Paulo Coelho),2006,Paideia Beograd,02.11.2007.
24,Zahir,O Zahir,2005,Paulo Koeljo (Paulo Coelho),2006,Paideia Beograd,23.09.2006.
41,P.S. Volim te,P.S. I Love You,2004,Sesilija Ahren (Cecilia Ahern),2004,Narodna knjiga Alfa,22.11.2007.
45,Mračna kula VI - Suzanina pesma,The Dark Tower VI - Song of Susannah,2004,Stiven King (Stephen King),2007,Editor Beograd,08.03.2008.
46,Mračna kula VII - Mračna kula,The Dark Tower VII - The Dark Tower,2004,Stiven King (Stephen King),2008,Alnari Beograd,08.03.2008.
39,Mračna kula V - Vukovi Kale (prvi deo),The Dark Tower V - Wolves of the Calla,2003,Stiven King (Stephen King),2006,Editor Beograd,02.11.2007.
40,Mračna kula V - Vukovi Kale (rokovi.sep22022.drugi deo),The Dark Tower V - Wolves of the Calla,2003,Stiven King (Stephen King),2006,Editor Beograd,02.11.2007.
32,Smisao života,The Meaning of Life,2002,Bredli Trevor Griv(Bradley Trevor Grieve),2006,Laguna Beograd,02.11.2007.
14,Zamka za snove,Dreamcatcher,2001,Stiven King (Stephen King),2001,Alnari Beograd,20.09.2002.
43,Ben u svetu,Ben in the World,2000,Doris Lesing (Doris Lessing),2007,Agora Zrenjanin,25.12.2007.
33,Digitalna tvrđava,Digital Fortress,1998,Den Braun (Dan Brown),2005,Solaris Novi Sad,02.11.2007.
26,Priručnik za ratnika svetlosti,Manual do Guerreiro da Luz,1997,Paulo Koeljo (Paulo Coelho),2001,Paideia Beograd,08.11.2006.
37,Mračna kula IV - Čarobrnjak i staklo (prvi deo),The Dark Tower IV - Wizard and Glass,1997,Stiven King (Stephen King),2005,Editor Beograd,02.11.2007.
38,Mračna kula IV - Čarobrnjak i staklo (rokovi.sep22022.drugi deo) ,The Dark Tower IV - Wizard and Glass,1997,Stiven King (Stephen King),2005,Editor Beograd,02.11.2007.
28,Na obali reke Pjedre sedela sam i plakala,Na Margem do Rio Pieda eu sentei e chorei,1994,Paulo Koeljo (Paulo Coelho),2007,Paideia Beograd,08.01.2007.
47,Crne rupe i bebe vaseljene,Black Wholes and Baby Universes,1993,Stiven Hoking (Stephen Hawking),2008,Alnari Beograd,10.05.2008.
21,Veliki matematičar,Veliki matematičari,1991,Ranko Risojević,1991,Nolit Beograd,17.11.2003.
36,Mračna kula III - Pustare,The Dark Tower III - The Waste Lands,1991,Stiven King (Stephen King),2004,Editor Beograd,02.11.2007.
29,Veronika je odlučila da umre,Veronika decide morrer,1988,Paulo Koeljo (Paulo Coelho),2006,Paideia Beograd,02.11.2007.
31,Peto dete,The Fifth Child,1988,Doris Lesing (Doris Lessing),2004,Agora Zrenjanin,02.11.2007.
27,Dnevnik jednog čarobnjaka,O Diario de Um Mago,1987,Paulo Koeljo (Paulo Coelho),2006,Paideia Beograd,08.11.2006.
35,Mračna kula II - Tri tarot karte,The Dark Tower II - The Drawing of Three ,1987,Stiven King (Stephen King),2004,Editor Beograd,02.11.2007.
34, Mračna kula I - Revorvelaš,The Dark Tower I - The Gunslinger,1982,Stiven King (Stephen King),2004,Editor Beograd,02.11.2007.
6,Sveske,Sveske,1977,Ivo Andrić,1984,Svjetlost Sarajevo,17.07.1996.
22,Znakovi pored puta,Znakovi pored puta,1976,Ivo Andrić,2004,Dereta Beograd,17.09.2004.
44,Memoari preživele,The Memoirs of a Survivor,1974,Doris Lesing (Doris Lessing),2008,Agora Zrenjanin,14.02.2008.
25,Galeb Džonatan Livingston,Jonathan Livingston Seagull,1970,Ričard Bah (Richard Bach),2005,Mono i Manjana Beograd,08.10.2006.
4,Deca,Deca,1968,Ivo Andrić,1984,Svjetlost Sarajevo,17.07.1996.
42,Sto godina samoće,Cien años de soledad,1967,Gabrijel Garsija Markes (Gabriel Garcia Marquez),2002,Zavod za udžbenike i nastavna sredstva Beograd,22.11.2007.
9,Derviš i smrt,Derviš i smrt,1966,Meša Selimović,1975,IP Otokar Keršovani Rijeka,17.07.1996.
23,Stepski vuk,Steppen Wolf,1955,Herman Hese (Hermann Hesse),1994,Narodna knjiga Alfa,08.10.2004.
3,Prokleta avlija,Prokleta avlija,1954,Ivo Andrić,1989,Svjetlost Sarajevo,17.07.1996.
13,Starac i more,The Old Man and the Sea ,1952,Ernest Hemingvej (Ernest Hemingway),1990,Svjetlost Sarajevo,26.07.2001.
1,Travnička hronika,Travnička hronika,1945,Ivo Andrić,1989,Svjetlost Sarajevo,17.07.1996.
2,Na Drini ćuprija,Na Drini ćuprija,1945,Ivo Andrić,1989,Svjetlost Sarajevo,17.07.1996.
5,Gospođica,Godspođica,1945,Ivo Andrić,1964,Mladost Zagreb,17.07.1996.
7,Na Drini ćuprija,Na Drini ćuprija,1945,Ivo Andrić,1977,Svjetlost Sarajevo,17.07.1996.
18,Životinjska farma,Animal Farm,1945,Džordž Orvel (George Orwell),2003,Biblioteka Vijesti,01.10.2003.
11,Blago cara Radovana,Blago cara Radovana,1932,Jovan Dučić,1994,IP Beograd Beograd,17.07.1996.
17,Grof Monte Kristo 3,Le Comte de Monte-Cristo,1848,Aleksandar Dima (Alexandre Dumas),1991,Svjetlost Sarajevo,23.05.2003.
16,Grof Monte Kristo 2,Le Comte de Monte-Cristo,1847,Aleksandar Dima (Alexandre Dumas),1991,Svjetlost Sarajevo,23.05.2003.
8,Bijedni ljudi,Бедные люди,1846,Fjodor Mihailovič Dostojevski (Фёдор Михайлович Достоевский),1982,Znanje Zagreb,17.07.1996.
15,Grof Monte Kristo 1,Le Comte de Monte-Cristo,1846,Aleksandar Dima (Alexandre Dumas),1991,Svjetlost Sarajevo,23.05.2003.
10,Bogorodičina crkva u Parizu,Notre-Dame de Paris,1831,Viktor Igo (Victor Hugo),1985,IRO Rad Beograd,17.07.1996.
12,Latice zlatnog sveta,nepoznato,1111,Priče himalajskih naroda,1990,Veselin Masleša Sarajevo,17.07.1996.
19,Misli nad mislima,Misli nad mislima,1111,nepoznat,2003,SIA Zlaja Beograd,01.10.2003.
20,Mala knjiga velikih misli,Mala knjiga velikih misli,1111,nepoznat,1999,Libretto Beograd,01.10.2003.
